,Your gender ,Your age ,How important is exercise to you ?,How do you describe your current level of fitness ?,How often do you exercise?,Do you exercise ___________ ?,What time if the day do you prefer to exercise?,How long do you spend exercising per day ?,Would you say you eat a healthy balanced diet ?,"What prevents you from eating a healthy balanced diet, If any?                         (Please select all that apply)",How healthy do you consider yourself?,Have you ever recommended your friends to follow a fitness routine?,Have you ever purchased a fitness equipment?
491,1,2,5,2,4,0,0,1,0,4,5,0,1
492,0,1,3,2,2,3,1,3,1,4,3,0,1
493,1,1,4,3,3,3,0,3,0,0,4,1,0
494,0,1,2,1,1,1,0,0,1,4,4,1,1
495,0,2,3,1,0,1,0,0,1,4,4,1,1
496,0,1,4,2,3,4,1,1,0,0,3,0,1
497,0,1,4,2,3,0,1,0,0,0,4,0,1
498,0,1,5,3,4,4,1,4,1,4,5,0,1
499,1,0,3,2,1,3,0,2,1,1,4,0,0
500,1,1,4,2,2,3,1,1,0,3,4,0,0
501,0,2,5,2,3,0,0,0,0,1,3,0,0
502,1,2,5,2,5,2,0,1,0,3,3,0,0
503,0,1,4,2,5,3,1,1,1,0,4,1,0
504,0,0,4,1,2,2,0,0,0,3,4,0,0
505,0,0,4,1,2,2,0,0,0,3,4,0,0
506,1,2,5,1,3,0,0,1,1,4,3,1,1
507,0,1,4,2,2,0,0,0,0,1,3,0,1
509,0,2,5,2,3,0,0,0,1,4,3,0,1
510,0,2,4,2,4,0,0,0,1,4,4,0,0
511,0,1,5,2,0,0,1,1,0,0,3,0,0
512,1,2,4,2,4,0,0,0,0,1,3,0,1
513,0,0,4,2,1,0,0,2,0,0,3,0,1
514,1,1,4,1,1,1,0,0,0,4,3,1,1
515,0,0,4,1,1,1,0,2,0,3,3,1,0
516,0,0,3,1,1,2,0,0,1,0,3,0,1
517,0,1,2,2,0,0,1,0,0,0,3,0,1
518,0,1,5,1,0,0,0,0,0,3,3,0,0
519,1,4,5,2,4,3,0,1,0,0,4,0,1
520,0,0,5,3,4,4,1,1,0,1,4,0,0
521,0,0,3,1,1,1,0,2,0,3,3,1,0
522,1,0,2,2,0,0,0,0,1,1,3,0,1
523,1,0,5,1,0,0,0,2,0,3,2,0,0
524,0,4,3,1,2,0,1,0,0,4,3,0,1
525,0,0,5,2,5,0,0,1,0,0,3,0,0
526,0,0,4,1,1,1,0,2,0,3,2,0,0
527,1,4,2,1,3,1,0,2,2,0,2,1,1
528,0,0,5,2,2,2,1,1,0,0,3,0,1
529,0,4,5,1,0,4,1,1,2,0,3,0,1
530,0,1,5,3,2,2,1,0,1,3,4,0,0
531,1,4,5,1,0,0,1,0,2,3,2,0,1
532,1,2,5,1,0,0,1,3,0,0,2,0,0
533,0,4,4,2,3,4,1,1,0,0,3,0,1
534,0,2,5,3,5,0,2,3,0,0,4,0,0
535,1,2,5,3,5,0,0,3,0,0,4,0,0
536,1,4,3,2,3,0,0,0,0,1,4,0,1
537,0,2,3,3,0,0,1,0,0,4,4,0,0
538,0,2,3,3,0,0,1,0,0,4,4,0,0
539,0,2,3,3,0,0,1,0,0,4,4,0,0
540,0,2,3,3,0,0,1,0,0,4,4,0,0
541,0,2,1,1,3,1,0,3,1,1,3,0,0
542,0,0,4,1,0,0,0,0,0,3,4,0,1
543,1,0,3,2,3,0,1,0,0,0,3,0,1
544,0,2,2,1,1,1,0,2,0,5,3,1,0
